case_id,activity,lifecycle,resource,timestamp,amount,article,dismissal,expense,lastsent,matricola,notificationtype,paymentamount,points,totalpaymentamount,vehicleclass,activity_instance_id,.order
A10011,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,53
A10012,Create Fine,complete,537,2007-03-21,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,54,54
A10012,Send Fine,complete,NA,2007-08-02,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,55,55
A10015,Create Fine,complete,537,2007-03-21,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,56,56
A10015,Send Fine,complete,NA,2007-08-02,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,57,57
A10015,Insert Fine Notification,complete,NA,2007-08-19,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,58,58
A10015,Add penalty,complete,NA,2007-10-18,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,59
A10015,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60
A10018,Create Fine,complete,537,2007-03-22,220,7,NIL,NA,NA,NA,NA,NA,0,0.0,A,61,61
A10018,Send Fine,complete,NA,2007-08-02,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,62,62
A10018,Insert Fine Notification,complete,NA,2007-08-09,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,63,63
A10018,Add penalty,complete,NA,2007-10-08,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,64
A10018,Payment,complete,NA,2007-10-08,NA,NA,NA,NA,NA,NA,NA,350,NA,35.0,NA,65,65
A10019,Create Fine,complete,537,2007-03-22,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,66,66
A10019,Send Fine,complete,NA,2007-07-17,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,67,67
A10019,Insert Fine Notification,complete,NA,2007-07-23,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,68,68
A10019,Add penalty,complete,NA,2007-09-21,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,69
A10019,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,70
A1002,Create Fine,complete,550,2006-08-05,210,7,NIL,NA,NA,NA,NA,NA,0,0.0,A,71,71
A1002,Send Fine,complete,NA,2006-12-12,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,72,72
A1002,Insert Fine Notification,complete,NA,2007-01-03,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,73,73
A1002,Add penalty,complete,NA,2007-03-04,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,74
A1002,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,75
A10021,Create Fine,complete,537,2007-03-22,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,76,76
A10021,Send Fine,complete,NA,2007-08-02,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,77,77
A10021,Insert Fine Notification,complete,NA,2007-08-09,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,78,78
A10021,Add penalty,complete,NA,2007-10-08,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,79
A10021,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,80
A10022,Create Fine,complete,537,2007-03-22,220,7,NIL,NA,NA,NA,NA,NA,0,0.0,A,81,81
A10022,Payment,complete,NA,2007-03-28,NA,NA,NA,NA,NA,NA,NA,220,NA,22.0,NA,82,82
A10023,Create Fine,complete,537,2007-03-22,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,83,83
A10023,Send Fine,complete,NA,2007-07-17,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,84,84
A10023,Insert Fine Notification,complete,NA,2007-07-25,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,85,85
A10023,Add penalty,complete,NA,2007-09-23,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,86
A10023,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,87
A10024,Create Fine,complete,537,2007-03-22,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,88,88
A10024,Payment,complete,NA,2007-03-26,NA,NA,NA,NA,NA,NA,NA,360,NA,36.0,NA,89,89
A10025,Create Fine,complete,537,2007-03-22,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,90,90
A10025,Send Fine,complete,NA,2007-08-02,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,91,91
A10025,Insert Fine Notification,complete,NA,2007-08-09,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,92,92
A10025,Add penalty,complete,NA,2007-10-08,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,93
A10025,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,94
A10026,Create Fine,complete,537,2007-03-22,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,95,95
A10026,Send Fine,complete,NA,2007-07-17,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,96,96
A10026,Insert Fine Notification,complete,NA,2007-07-25,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,97,97
A10026,Add penalty,complete,NA,2007-09-23,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,98
A10026,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,99
A10029,Create Fine,complete,537,2007-03-22,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,100,100
A10029,Payment,complete,NA,2007-04-10,NA,NA,NA,NA,NA,NA,NA,360,NA,36.0,NA,101,101
A10030,Create Fine,complete,537,2007-03-22,220,7,NIL,NA,NA,NA,NA,NA,0,0.0,A,102,102
A10030,Payment,complete,NA,2007-03-26,NA,NA,NA,NA,NA,NA,NA,220,NA,22.0,NA,103,103
A10033,Create Fine,complete,537,2007-03-23,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,104,104
A10033,Send Fine,complete,NA,2007-08-02,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,105,105
A10033,Insert Fine Notification,complete,NA,2007-08-19,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,106,106
A10033,Add penalty,complete,NA,2007-10-18,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,107
A10033,Payment,complete,NA,2008-09-13,NA,NA,NA,NA,NA,NA,NA,870,NA,87.0,NA,108,108
A10034,Create Fine,complete,537,2007-03-23,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,109,109
A10034,Send Fine,complete,NA,2007-08-02,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,110,110
A10034,Insert Fine Notification,complete,NA,2007-08-20,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,111,111
A10034,Add penalty,complete,NA,2007-10-19,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,112
A10034,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,113
A10041,Create Fine,complete,537,2007-03-24,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,114,114
A10041,Send Fine,complete,NA,2007-08-02,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,115,115
A10042,Create Fine,complete,537,2007-03-24,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,116,116
A10042,Send Fine,complete,NA,2007-08-02,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,117,117
A10042,Insert Fine Notification,complete,NA,2007-08-09,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,118,118
A10042,Add penalty,complete,NA,2007-10-08,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,119
A10042,Payment,complete,NA,2007-10-23,NA,NA,NA,NA,NA,NA,NA,490,NA,49.0,NA,120,120
A10042,Payment,complete,NA,2007-11-13,NA,NA,NA,NA,NA,NA,NA,380,NA,87.0,NA,121,121
A10043,Create Fine,complete,537,2007-03-24,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,122,122
A10043,Send Fine,complete,NA,2007-08-02,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,123,123
A10043,Insert Fine Notification,complete,NA,2007-08-10,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,124,124
A10043,Add penalty,complete,NA,2007-10-09,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,125
A10043,Payment,complete,NA,2008-10-10,NA,NA,NA,NA,NA,NA,NA,870,NA,87.0,NA,126,126
A10044,Create Fine,complete,537,2007-03-24,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,127,127
A10044,Send Fine,complete,NA,2007-08-02,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,128,128
A10044,Insert Fine Notification,complete,NA,2007-08-09,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,129,129
A10044,Add penalty,complete,NA,2007-10-08,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,130
A10044,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,131
A10045,Create Fine,complete,537,2007-03-24,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,132,132
A10045,Send Fine,complete,NA,2007-08-02,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,133,133
A10046,Create Fine,complete,537,2007-03-28,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,134,134
A10046,Send Fine,complete,NA,2007-07-17,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,135,135
A10046,Insert Fine Notification,complete,NA,2007-08-05,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,136,136
A10046,Add penalty,complete,NA,2007-10-04,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,137
A10046,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,138
A10047,Create Fine,complete,537,2007-03-28,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,139,139
A10047,Payment,complete,NA,2007-04-02,NA,NA,NA,NA,NA,NA,NA,360,NA,36.0,NA,140,140
A10049,Create Fine,complete,537,2007-03-28,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,141,141
A10049,Payment,complete,NA,2007-03-30,NA,NA,NA,NA,NA,NA,NA,360,NA,36.0,NA,142,142
A10050,Create Fine,complete,537,2007-03-28,220,7,NIL,NA,NA,NA,NA,NA,0,0.0,A,143,143
A10050,Send Fine,complete,NA,2007-08-02,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,144,144
A10050,Insert Fine Notification,complete,NA,2007-08-28,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,145,145
A10050,Add penalty,complete,NA,2007-10-27,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,146
A10050,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,147
A10054,Create Fine,complete,541,2007-03-07,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,148,148
A10054,Send Fine,complete,NA,2007-07-17,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,149,149
A10056,Create Fine,complete,541,2007-03-07,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,150,150
A10056,Payment,complete,NA,2007-03-17,NA,NA,NA,NA,NA,NA,NA,360,NA,36.0,NA,151,151
A10059,Create Fine,complete,541,2007-03-08,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,152,152
A10059,Payment,complete,NA,2007-04-18,NA,NA,NA,NA,NA,NA,NA,360,NA,36.0,NA,153,153
A1006,Create Fine,complete,550,2006-08-08,210,7,NIL,NA,NA,NA,NA,NA,0,0.0,A,154,154
A1006,Payment,complete,NA,2006-09-12,NA,NA,NA,NA,NA,NA,NA,210,NA,21.0,NA,155,155
A10060,Create Fine,complete,541,2007-03-08,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,C,156,156
A10060,Payment,complete,NA,2007-03-13,NA,NA,NA,NA,NA,NA,NA,360,NA,36.0,NA,157,157
A10061,Create Fine,complete,541,2007-03-08,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,158,158
A10061,Send Fine,complete,NA,2007-07-17,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,159,159
A10061,Insert Fine Notification,complete,NA,2007-08-02,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,160,160
A10061,Add penalty,complete,NA,2007-10-01,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,161
A10061,Payment,complete,NA,2008-09-25,NA,NA,NA,NA,NA,NA,NA,870,NA,87.0,NA,162,162
A10063,Create Fine,complete,541,2007-03-08,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,163,163
A10063,Send Fine,complete,NA,2007-07-17,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,164,164
A10063,Insert Fine Notification,complete,NA,2007-07-23,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,165,165
A10063,Add penalty,complete,NA,2007-09-21,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,166
A10063,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,167
A10067,Create Fine,complete,541,2007-03-09,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,168,168
A10067,Send Fine,complete,NA,2007-07-17,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,169,169
A10067,Insert Fine Notification,complete,NA,2007-07-23,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,170,170
A10067,Add penalty,complete,NA,2007-09-21,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,171
A10067,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,172
A10068,Create Fine,complete,541,2007-03-09,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,173,173
A10068,Send Fine,complete,NA,2007-07-17,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,174,174
A10068,Insert Fine Notification,complete,NA,2007-08-02,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,175,175
A10068,Add penalty,complete,NA,2007-10-01,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,176
A10068,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,177
A10069,Create Fine,complete,541,2007-03-09,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,178,178
A10069,Send Fine,complete,NA,2007-07-17,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,179,179
A10069,Insert Fine Notification,complete,NA,2007-07-28,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,180,180
A10069,Add penalty,complete,NA,2007-09-26,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181,181
A10069,Payment,complete,NA,2008-09-30,NA,NA,NA,NA,NA,NA,NA,870,NA,87.0,NA,182,182
A1007,Create Fine,complete,550,2006-08-28,210,7,NIL,NA,NA,NA,NA,NA,0,0.0,A,183,183
A1007,Send Fine,complete,NA,2006-12-15,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,184,184
A1007,Insert Fine Notification,complete,NA,2007-01-07,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,185,185
A1007,Add penalty,complete,NA,2007-03-08,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,186
A1007,Payment,complete,NA,2007-11-30,NA,NA,NA,NA,NA,NA,NA,535,NA,53.5,NA,187,187
A10071,Create Fine,complete,541,2007-03-09,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,188,188
A10071,Send Fine,complete,NA,2007-07-17,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,189,189
A10071,Insert Fine Notification,complete,NA,2007-08-02,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,190,190
A10071,Add penalty,complete,NA,2007-10-01,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,191
A10071,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,192
A10072,Create Fine,complete,541,2007-03-10,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,193,193
A10072,Send Fine,complete,NA,2007-07-17,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,194,194
A10074,Create Fine,complete,541,2007-03-10,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,195,195
A10074,Send Fine,complete,NA,2007-07-17,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,196,196
A10075,Create Fine,complete,541,2007-03-11,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,197,197
A10075,Send Fine,complete,NA,2007-07-17,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,198,198
A10075,Insert Fine Notification,complete,NA,2007-07-23,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,199,199
A10075,Add penalty,complete,NA,2007-09-21,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,200
A10075,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,201
A10076,Create Fine,complete,541,2007-03-11,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,202,202
A10076,Payment,complete,NA,2007-03-12,NA,NA,NA,NA,NA,NA,NA,360,NA,36.0,NA,203,203
A10077,Create Fine,complete,541,2007-03-11,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,204,204
A10077,Send Fine,complete,NA,2007-07-17,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,205,205
A10078,Create Fine,complete,541,2007-03-11,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,206,206
A10078,Payment,complete,NA,2007-03-21,NA,NA,NA,NA,NA,NA,NA,360,NA,36.0,NA,207,207
A10079,Create Fine,complete,541,2007-03-11,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,208,208
A10079,Send Fine,complete,NA,2007-07-17,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,209,209
A10079,Insert Fine Notification,complete,NA,2007-07-24,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,210,210
A10079,Add penalty,complete,NA,2007-09-22,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211,211
A10079,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,212
A1008,Create Fine,complete,550,2006-08-28,210,7,NIL,NA,NA,NA,NA,NA,0,0.0,A,213,213
A1008,Send Fine,complete,NA,2007-04-04,NA,NA,NA,166,NA,NA,NA,NA,NA,NA,NA,214,214
A10082,Create Fine,complete,541,2007-03-11,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,215,215
A10082,Payment,complete,NA,2007-03-11,NA,NA,NA,NA,NA,NA,NA,360,NA,36.0,NA,216,216
A10083,Create Fine,complete,541,2007-03-11,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,217,217
A10083,Send Fine,complete,NA,2007-07-17,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,218,218
A10083,Insert Fine Notification,complete,NA,2007-08-02,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,219,219
A10083,Add penalty,complete,NA,2007-10-01,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,220
A10083,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,221
A10085,Create Fine,complete,541,2007-03-14,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,222,222
A10085,Payment,complete,NA,2007-03-16,NA,NA,NA,NA,NA,NA,NA,360,NA,36.0,NA,223,223
A10089,Create Fine,complete,541,2007-03-11,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,224,224
A10089,Payment,complete,NA,2007-03-12,NA,NA,NA,NA,NA,NA,NA,360,NA,36.0,NA,225,225
A1009,Create Fine,complete,550,2006-08-29,210,7,NIL,NA,NA,NA,NA,NA,0,0.0,A,226,226
A1009,Send Fine,complete,NA,2006-12-15,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,227,227
A1009,Insert Fine Notification,complete,NA,2007-01-01,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,228,228
A1009,Add penalty,complete,NA,2007-03-02,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,229
A1009,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,230
A10090,Create Fine,complete,541,2007-03-11,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,231,231
A10090,Send Fine,complete,NA,2007-07-17,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,232,232
